speaker_id,birth place,city,native language,other language(s),age,sex,age of english onset,english learning method,english residence,length of english residence,language
1,"virginia, south africa",virginia,afrikaans,tswana,27,female,9,academic,usa,0.5 years,afrikaans1
2,"pretoria, south africa",pretoria,afrikaans,dutch german french,40,male,5,academic,usa,10 years,afrikaans2
3,"diekabo, ivory coast",diekabo,agni,french,25,male,15,academic,usa,1.2 years,agni1
4,"prishtina, kosovo",prishtina,albanian,serbian macedonian bosnian,19,male,6,naturalistic,usa,3 years,albanian1
5,"tirana, albania",tirana,albanian,german italian,33,male,15,naturalistic,usa,0.04 years,albanian2
6,"addis ababa, ethiopia",addis ababa,amharic,none,20,female,5,academic,usa,2 years,amharic1
7,"arba minch, ethiopia",arba minch,amharic,gamugna,23,male,7,academic,usa,2 years,amharic2
8,"addis ababa, ethiopia",addis ababa,amharic,oromo,27,male,8,academic,usa,4 years,amharic3
9,"addis ababa, ethiopia",addis ababa,amharic,none,20,male,7,academic,usa,2 years,amharic4
10,"addis ababa, ethiopia",addis ababa,amharic,russian,31,male,7,academic,usa,3 years,amharic5
11,"riyadh, saudi arabia",riyadh,arabic,none,38,female,12,academic,usa,4 years,arabic1
12,"cairo, egypt",cairo,arabic,french german,26,male,5,academic,usa,2 years,arabic10
13,"monastir, tunisia",monastir,arabic,french,30,female,14,academic,usa,4 years,arabic11
14,"baghdad, iraq",baghdad,arabic,none,32,male,11,academic,usa,8 years,arabic12
15,"zabbougha, lebanon",zabbougha,arabic,french swedish,25,male,15,academic,usa,1 years,arabic13
16,"damascus, syria",damascus,arabic,none,18,male,2.5,naturalistic,usa,3 years,arabic2
17,"doha, qatar",doha,arabic,none,24,male,9,academic,usa,1 years,arabic3
18,"sharjah, united arab emirates",sharjah,arabic,french,19,male,6,academic,usa,0.6 years,arabic4
19,"casablanca, morocco",casablanca,arabic,french,19,female,15,academic,usa,0.6 years,arabic5
20,"sanaa, yemen",sanaa,arabic,none,21,male,14.5,academic,"uk,usa",2 years,arabic6
21,"casablanca, morocco",casablanca,arabic,french,18,female,15,academic,usa,0.1 years,arabic7
22,"casablanca, morocco",casablanca,arabic,french,21,male,17,academic,usa,0.7 years,arabic8
23,"jerusalem, israel",jerusalem,arabic,none,28,female,4,academic,usa,12 years,arabic9
24,"yerevan, armenia",yerevan,armenian,russian french,19,female,9,academic,usa,1 years,armenian1
25,"naxcivan, azerbaijan",naxcivan,azerbaijani,russian,24,male,14,academic,usa,1 years,azerbaijani1
26,"douala, cameroon",douala,bafang,french,40,male,30,academic,usa,10 years,bafang1
27,"conakry, guinea",conakry,baga,susu mandingo french,31,male,29,academic,usa,2 years,baga1
28,"jianchuan, yunnan, china",jianchuan,bai,mandarin,43,female,40,academic,,0 years,bai1
29,"bamako, mali",bamako,bambara,french,15.5,female,12,academic,usa,0.4 years,bambara1
30,"bamako, mali",bamako,bambara,french,26,female,18,academic,usa,2 years,bambara2
31,"foumban, cameroon",foumban,bamun,french russian,31,female,15,academic,usa,2 years,bamun1
32,"vizcaya, spain",vizcaya,basque,spanish,69,female,34,naturalistic,usa,35 years,basque1
33,"guernica, spain",guernica,basque,spanish,50,male,19,naturalistic,usa,30 years,basque2
34,"dhaka, bangladesh",dhaka,bengali,hindi-urdu,23,male,16,academic,usa,1 years,bengali1
35,"lusaka, zambia",lusaka,bengali,french,25,female,2,naturalistic,usa,21 years,bengali2
36,"dhaka, bangladesh",dhaka,bengali,urdu hindi-urdu spanish,19,female,5,academic,usa,6 years,bengali3
37,"chittagong, bangladesh",chittagong,bengali,hindi-urdu spanish,24,male,6,academic,usa,5 years,bengali4
38,"doboj, bosnia and herzegovina",doboj,bosnian,german russian,39,male,37,academic,usa,2 years,bosnian1
39,"sarajevo, bosnia and herzegovina",sarajevo,bosnian,slovenian,21,male,10,naturalistic,usa,0.1 years,bosnian2
40,"plovdiv, bulgaria",plovdiv,bulgarian,russian,25,female,16,academic,usa,7 years,bulgarian1
41,"sofia, bulgaria",sofia,bulgarian,russian,53,female,42,academic,usa,11 years,bulgarian2
42,"sofia, bulgaria",sofia,bulgarian,russian,27,male,10,academic,usa,10 years,bulgarian3
